FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201302,18,0,1007222,427656,"D","02/18/2013 00:00:00",60,"M","In Water",201302
201301,16,0,1007278,431932,"I","01/16/2013 00:00:00",30,"M","Other",201301
201302,2,0,1007189,422937,"I","02/02/2013 00:00:00",46,"F","Other",201302
201301,18,0,19724,429868,"D","01/18/2013 00:00:00",7,"M","Outside/Open Areas",201301
201301,18,0,19725,429868,"D","01/18/2013 00:00:00",14,"M","Outside/Open Areas",201301
201301,21,0,1007241,429917,"D","01/21/2013 00:00:00",12,"F","Outside/Open Areas",201301
201301,12,0,19792,430257,"D","01/12/2013 00:00:00",59,"M","Vehicle/Towed Trailer",201301
201301,15,0,1007279,430579,"D","01/15/2013 00:00:00",79,"M","Outside/Open Areas",201301
201301,24,0,1007268,431604,"D","01/24/2013 00:00:00",71,"M","Permanent Home",201301
201301,16,0,1007270,431698,"D","01/16/2013 00:00:00",62,"M","Outside/Open Areas",201301
201301,28,0,1007271,431724,"I","01/28/2013 00:00:00",,"F","Vehicle/Towed Trailer",201301
201301,28,0,1007272,431724,"I","01/28/2013 00:00:00",,"","Vehicle/Towed Trailer",201301
201301,13,0,1007273,431749,"D","01/13/2013 00:00:00",36,"M","Outside/Open Areas",201301
201301,13,0,1007274,431749,"D","01/13/2013 00:00:00",10,"M","Outside/Open Areas",201301
201301,24,0,19791,421108,"I","01/24/2013 00:00:00",,"","Vehicle/Towed Trailer",201301
201301,27,0,1007184,421872,"D","01/27/2013 00:00:00",28,"F","Outside/Open Areas",201301
201301,27,0,1007185,421873,"D","01/27/2013 00:00:00",30,"M","Outside/Open Areas",201301
201301,13,0,1007187,422507,"I","01/13/2013 00:00:00",42,"M","Vehicle/Towed Trailer",201301
201301,19,0,1007188,422671,"D","01/19/2013 00:00:00",60,"M","In Water",201301
201301,9,0,1007190,423156,"I","01/09/2013 00:00:00",1,"M","Vehicle/Towed Trailer",201301
201301,9,0,1007191,423156,"I","01/09/2013 00:00:00",3,"M","Vehicle/Towed Trailer",201301
201301,27,0,19798,423269,"I","01/27/2013 00:00:00",,"","Vehicle/Towed Trailer",201301
201301,18,0,1007194,424565,"D","01/18/2013 00:00:00",47,"M","In Water",201301
201301,18,0,1007195,424565,"D","01/18/2013 00:00:00",46,"M","In Water",201301
201301,27,0,1007219,426456,"I","01/27/2013 00:00:00",21,"F","Vehicle/Towed Trailer",201301
201301,30,0,19662,426639,"D","01/30/2013 00:00:00",50,"F","Outside/Open Areas",201301
201301,16,0,1007221,427445,"I","01/16/2013 00:00:00",60,"M","Vehicle/Towed Trailer",201301
201301,21,0,1007228,427488,"D","01/21/2013 00:00:00",38,"M","Outside/Open Areas",201301
201301,11,0,1007229,428112,"I","01/11/2013 00:00:00",,"M","Other",201301
201301,11,0,1007230,428112,"I","01/11/2013 00:00:00",,"M","Other",201301
201301,11,0,1007231,428112,"I","01/11/2013 00:00:00",,"M","Other",201301
201301,11,0,1007232,428112,"I","01/11/2013 00:00:00",,"M","Other",201301
201301,30,0,1007267,428260,"D","01/30/2013 00:00:00",51,"M","Mobile/Trailer Home",201301
201301,30,0,1007235,428867,"I","01/30/2013 00:00:00",39,"M","Vehicle/Towed Trailer",201301
201301,27,0,1007236,428996,"I","01/27/2013 00:00:00",45,"M","Vehicle/Towed Trailer",201301
201301,1,0,1007237,429176,"D","01/01/2013 00:00:00",,"M","In Water",201301
201301,13,0,1007238,429178,"D","01/13/2013 00:00:00",40,"M","In Water",201301
201301,4,0,1007239,429686,"D","01/04/2013 00:00:00",60,"M","Outside/Open Areas",201301
201301,17,0,1007240,429697,"D","01/17/2013 00:00:00",71,"M","Vehicle/Towed Trailer",201301
201301,27,0,19723,429789,"I","01/27/2013 00:00:00",24,"F","Vehicle/Towed Trailer",201301
201301,13,0,1007275,431749,"D","01/13/2013 00:00:00",8,"M","Outside/Open Areas",201301
